FE_EJERCICIO;MU_CODINE;MU_NOMBRE;FE_FIESTAS
2021;03011;Alfàs del Pi (l'); 9 y 10 de noviembre, martes y miércoles.
2020;03011;Alfàs del Pi (l'); 9 y 10 de noviembre, lunes y martes, respectivamente.
2019;03011;Alfàs del Pi (l');8 y 9 de noviembre, viernes y sábado, respectivamente.
2018;03011;Alfàs del Pi (l');9 y 10 de noviembre, viernes y sábado, respectivamente.
2026;03011;Alfàs del Pi (l');9 de noviembre y 10 de noviembre.
2026;03012;Algorfa;13 de abril, San Vicente Ferrer, 16 de julio, Virgen del Carmen.
2018;03012;Algorfa;9 de abril, lunes, festividad de San Vicente Ferrer y 16 de julio, lunes, festividad de Nª Sª del Carmen.
2019;03012;Algorfa;29 de abril, lunes, festividad de San Vicente Ferrer y 16 de julio, martes, festividad de Nª Sª del Carmen.
2020;03012;Algorfa; 20 de abril, lunes, festividad de San Vicente Ferrer y 16 de julio, jueves, festividad de Nª Sª del Carmen.
2021;03012;Algorfa; 12 de abril, lunes, festividad de San Vicente Ferrer y 16 de julio viernes, festividad de la Virgen del Carmen
2022;03012;Algorfa;25 de abril, lunes, festividad de San Vicente Ferrer, 16 de julio sábado, festividad de la Virgen del Carmen.
2023;03012;Algorfa; 17 de abril, lunes, festividad de San Vicente Ferrer, 17 de julio lunes, festividad de la Virgen del Carmen.
2024;03012;Algorfa; 8 de abril, lunes, festividad de San Vicente Ferrer, 16 de julio, martes, festividad de la Virgen del Carmen.
2025;03012;Algorfa;28 de abril, lunes, San Vicente Ferrer, 16 de julio miércoles, Virgen del Carmen.
2025;03013;Algueña;28 de abril, 2º lunes de pascua, 30 de julio, miércoles, día Patronos Algueña "Santos Abdón y Senén".
2024;03013;Algueña; 8 de abril, Lunes de Pascua, 30 de julio, martes, día patronos de Algueña, santos Abdón y Senén.
2023;03013;Algueña; 17 de abril, Lunes de Pascua, 26 de diciembre, martes, segundo día de Navidad.
2022;03013;Algueña;25 de abril, Lunes de Pascua, 30 de julio, sábado, Santos Abdón y Senén.
2021;03013;Algueña; 12 de abril, lunes, 30 de julio, viernes.
2020;03013;Algueña; 20 de abril, lunes y 30 de julio, jueves.
2019;03013;Algueña;29 de abril, lunes, de San Vicente y 30 de julio, martes, día de los Patronos, Abdón y Senén.
2018;03013;Algueña;9 de abril, lunes, de San Vicente y 30 de julio, lunes, Día de los Patronos San Abdón y San Senén.
2026;03013;Algueña;13 de abril, 2º lunes de pascua, 30 de julio, día Patronos Algueña "Santos Abdón y Senén".
2026;03014;Alicante/Alacant;16 de abril, Festividad de Santa Faz, 23 de junio, Fogueres de Sant Joan.
2018;03014;Alicante/Alacant;12 de abril, jueves, Festividad de Santa Faz y 25 de junio, lunes, Festividad de San Juan.
2019;03014;Alicante/Alacant;2 de mayo, jueves, festividad de Santa Faz y 25 de junio, martes, posterior a la festividad de San Juan.
2020;03014;Alicante/Alacant; 23 de abril, jueves, Festividad de Santa Faz y 22 de junio, lunes, Festividad de San Juan.
2021;03014;Alicante/Alacant; 15 de abril, jueves, Festividad de Santa Faz, 23 de junio, miércoles, Festividad de San Juan.
2022;03014;Alicante/Alacant;28 de abril, jueves, Festividad de Santa Faz, 23 de junio, jueves, Festividad de San Juan.
2023;03014;Alicante/Alacant; 20 de abril, jueves, festividad de Santa Faz, 23 de junio, viernes, festividad de San Juan.
2024;03014;Alicante/Alacant; 11 de abril, jueves, festividad de la Santa Faz, 24 de junio, lunes, festividad de San Juan.
2025;03014;Alicante/Alacant;23 de junio, lunes, 24 de junio, martes, festividad de Les Fogueres de Sant Joan.
2025;03015;Almoradí;30 de julio, miércoles, festividad de los Santicos de la Piedra, 26 de diciembre, viernes, Segundo día de Navidad.
2024;03015;Almoradí; 30 de julio, martes, festividad de los Santicos de Piedra, 30 de noviembre, sábado, festividad de San Andrés.
2023;03015;Almoradí; 30 de noviembre, jueves, festividad de San Andrés, 26 de diciembre, martes, 2º Día de Navidad.
2022;03015;Almoradí;30 de julio, sábado, Festividad de los Santos Abdón y Senén, 30 de noviembre, miércoles, Festividad de San Andrés.
2021;03015;Almoradí; 30 de julio, viernes, Festividad de los Santos Abdón y Senén, 30 de noviembre, martes, Festividad de San Andrés.
2020;03015;Almoradí; 30 de julio, jueves, Festividad de los Santos Abdón y Senén y 30 de noviembre, lunes, Festividad de San Andrés.
2019;03015;Almoradí;18 de abril, jueves, compensación por la Festividad de San Andrés y 30 de julio, martes, Festividad de los Santos Abdón y Senén.
2018;03015;Almoradí;30 de julio, lunes, Festividad de los Santos Abdón y Senén y 30 de noviembre, viernes, Festividad de San Andrés.
2026;03015;Almoradí;30 de julio, Festividad de los Santicos de la Piedra, 30 de noviembre, Festividad de San Andrés.
2026;03016;Almudaina;16 de enero, Sant Canut, 21 de agosto, Sant Bertomeu.
2018;03016;Almudaina;20 de enero, sábado, y 24 de agosto, viernes.
2019;03016;Almudaina;19 de enero, sábado, y 23 de agosto, viernes.
2020;03016;Almudaina; 18 de enero, sábado, y 21 de agosto, viernes.
2021;03016;Almudaina; 16 de enero, sábado, 20 de agosto, viernes.
2022;03016;Almudaina;22 de enero, sábado, 19 de agosto, viernes.
2023;03016;Almudaina; 21 de enero, sábado, 25 de agosto, viernes.
2024;03016;Almudaina; 19 de enero, viernes, 23 de agosto, viernes.
2025;03016;Almudaina;17 de enero, viernes, Sant Canut, 22 de agosto, viernes, Sant Bertomeu.
2025;03017;Alqueria d'Asnar (l');26 de septiembre, viernes, 29 de septiembre, lunes, San Miguel.
2024;03017;Alqueria d'Asnar (l'); 27 de septiembre, viernes, 30 de septiembre, lunes.
2023;03017;Alqueria d'Asnar (l'); 22 de septiembre, viernes, 25 de septiembre, lunes.
2022;03017;Alqueria d'Asnar (l');23 de septiembre, viernes , 26 de septiembre, lunes.
2021;03017;Alqueria d'Asnar (l'); 24 y 27 de septiembre, viernes y lunes.
2020;03017;Alqueria d'Asnar (l'); 25 y 28 de septiembre, viernes y lunes, respectivamente.
2019;03017;Alqueria d'Asnar (l');27 y 30 de septiembre, viernes y lunes respectivamente.
2018;03017;Alqueria d'Asnar (l');21 de septiembre, viernes y 24 de septiembre, lunes.
2026;03017;Alqueria d'Asnar (l');25 de septiembre, 28 de septiembre, San Miguel.
2026;03018;Altea;28 y 29 de septiembre.
2018;03018;Altea;24 y 25 de septiembre, lunes y martes, respectivamente.
2019;03018;Altea;23 y 24 de septiembre, lunes y martes, respectivamente.
2020;03018;Altea; 28 y 29 de septiembre, lunes y martes, respectivamente.
2021;03018;Altea; 27 y 28 de septiembre, lunes y martes.
2022;03018;Altea;26 y 27 de septiembre, lunes y martes, respectivamente.
2023;03018;Altea; 25 y 26 de septiembre, lunes y martes, respectivamente.
2024;03018;Altea; 23 y 24 de septiembre, lunes y martes, respectivamente.
2025;03018;Altea;29 de septiembre, lunes, 30 de septiembre, martes.
2025;03019;Aspe;27 de febrero, jueves, “Último Jueves” anterior a la Cuaresma, Día de la Jira, 5 de agosto, martes, Festividad de la Virgen de las Nieves, Patrona de Aspe.
2024;03019;Aspe; 8 de febrero, último jueves anterior a la Cuaresma, día de la Gira, 5 de agosto, lunes, festividad de la Virgen de las Nieves.
2023;03019;Aspe; 16 de febrero, jueves, Último Jueves anterior a la Cuaresma, Día de la Jira, 5 de agosto sábado, festividad de la Virgen de las Nieves.
2022;03019;Aspe;24 de febrero, jueves, "Último Jueves" anterior a la Cuaresma, Día de la Jira, 5 de agosto viernes, Festividad de la Virgen de las Nieves.
2021;03019;Aspe; 11 de febrero, jueves, último jueves anterior a la Cuaresma, Día de la Feria, 5 de agosto, jueves, Festividad de Nuestra Señora de las Nieves.
2020;03019;Aspe; 20 de febrero, jueves, Último Jueves anterior a la Cuaresma, Día de la Jira y 5 de agosto, miércoles, Festividad de Nuestra Señora de las Nieves.
2019;03019;Aspe;28 de febrero, jueves, Último Jueves anterior a la Cuaresma, Día de la Jira y 5 de agosto, lunes Festividad de Nuestra Señora de las Nieves.
2018;03019;Aspe;8 de febrero, jueves, Último Jueves anterior a la Cuaresma, Día de la Jira y 29 de marzo, Jueves Santo.
2026;03019;Aspe;12 de febrero, Día de la Jira, 5 de agosto, Festividad de la Virgen de las Nieves.
2026;03020;Balones;2 de abril, 30 de abril.
2018;03020;Balones;29 de marzo, jueves y 11 de octubre, jueves.
2019;03020;Balones;18 de abril, jueves y 5 de diciembre, jueves.
2020;03020;Balones; 9 de abril, Jueves Santo y 8 de octubre, jueves, víspera de 9 de octubre.
2021;03020;Balones; 1 de abril, Jueves Santo, 7 de diciembre, martes, víspera de la Purísima.
2022;03020;Balones;21 de abril, jueves , 11 de octubre, martes.
2023;03020;Balones; 6 de abril, jueves, 7 de diciembre, jueves.
2024;03020;Balones; 28 de marzo, Jueves Santo, 26 de diciembre, jueves, segundo día de Navidad.
2025;03020;Balones;17 de abril, jueves, 9 de diciembre, martes.
2025;03021;Banyeres de Mariola;22 de abril, martes, día de la Entrada, 23 de abril, miércoles, día de San Jorge.
2024;03021;Banyeres de Mariola; 22 de abril, lunes, día de la Entrada, 23 de abril, martes, día de San Jorge.
2023;03021;Banyeres de Mariola; 24 de abril, lunes, día de Moros y Cristianos, 25 de abril, martes día del Santo Cristo.
2022;03021;Banyeres de Mariola;22 de abril, viernes, Día de la entrada de las Fiestas de Moros y Cristianos, 25 de abril, lunes día del Santo Cristo.
2021;03021;Banyeres de Mariola; 29 de octubre y 7 de diciembre
2020;03021;Banyeres de Mariola; 22 y 23 de abril, miércoles y jueves, Fiestas de Moros y Cristianos en Honor de Sant Jordi.
2019;03021;Banyeres de Mariola;23 de abril, martes, día de Sant Jordi y 24 de abril, miércoles, Fiestas de Moros y Cristianos.
2018;03021;Banyeres de Mariola;23 y 24 de abril, lunes y martes respectivamente, Fiestas de Moros y Cristianos en honor de San Jorge.
2026;03021;Banyeres de Mariola;22 de abril, día de la Entrada, y 23 de abril, día de San Jorge.
2026;03022;Benasau;2 de abril, Jueves Santo, 13 de abril, San Vicente.
2018;03022;Benasau;9 de abril, lunes, San Vicente, y 26 de diciembre, miércoles, Segundo día de Navidad.
2019;03022;Benasau;29 de abril, lunes, San Vicente, y 26 de diciembre, jueves, Segundo Día de Navidad.
2020;03022;Benasau; 9 de abril, Jueves Santo y 20 de abril, lunes, San Vicente.
2021;03022;Benasau; 12 de abril, lunes, San Vicente Ferrer, 16 de agosto, lunes, San Joaquín.
2022;03022;Benasau;25 de abril, lunes, San Vicente Ferrer, 16 de agosto, martes.
2023;03022;Benasau; 17 de abril, lunes, San Vicente Ferrer, 16 de agosto, miércoles.
2024;03022;Benasau; 8 de abril, lunes, San Vicente, 16 de agosto, viernes.
2025;03022;Benasau;28 de abril, lunes, San Vicente, 26 de diciembre, viernes, Segundo día de Navidad.
2025;03023;Beneixama;28 de abril, lunes, festividad de San Vicente Ferrer, 24 de junio, martes, Festividad de San Juan.
2024;03023;Beneixama; 8 de abril, lunes, San Vicente, 26 de diciembre, jueves, segundo día de Navidad.
2023;03023;Beneixama; 17 de abril, lunes, festividad de San Vicente, 26 de diciembre, martes, segundo día de Navidad.
2022;03023;Beneixama;25 de abril, lunes, festividad de San Vicente Ferrer, 26 de diciembre, lunes, segundo día de Navidad.
2021;03023;Beneixama; 1 de abril, Jueves Santo, 12 de abril, lunes, festividad de San Vicente Ferrer.
2020;03023;Beneixama; 9 de abril, Jueves Santo y 20 de abril, lunes, San Vicente.
2019;03023;Beneixama;29 de abril, lunes, San Vicente y 26 de diciembre, jueves, segundo día de Navidad.
2018;03023;Beneixama;9 de abril, lunes, San Vicente y 26 de diciembre, miércoles, Segundo día de Navidad.
2026;03023;Beneixama;2 de abril, Jueves Santo, 13 de abril, Festividad de San Vicente Ferrer.
2026;03024;Benejúzar;4 de junio, Corpus Christi, 7 de octubre, Virgen del Rosario
2018;03024;Benejúzar;31 de mayo, jueves Corpus Christi, y 1 de junio, viernes.
2019;03024;Benejúzar;20 de junio, jueves Corpus Christi, y 7 de octubre, lunes, Virgen del Rosario.
2020;03024;Benejúzar; 7 de octubre y 11 de junio
2021;03024;Benejúzar; 3 de junio, jueves, Corpus Christi, y 7 de octubre, jueves. Virgen del Rosario.
2022;03024;Benejúzar;16 de junio, jueves, Corpus Christi, 7 de octubre, viernes. Virgen del Rosario.
2023;03024;Benejúzar; 8 de junio, jueves, Corpus Christi, 9 de junio, viernes
2024;03024;Benejúzar; 30 de mayo, jueves, Corpus Christi, 7 de octubre, lunes, Virgen del Rosario.
2025;03024;Benejúzar;19 de junio, jueves, Corpus Christi, 7 de octubre, martes, Virgen del Rosario.
2025;03025;Benferri;30 de septiembre, martes, San Jerónimo, 7 de octubre, martes, Virgen del Rosario.
2024;03025;Benferri; 30 de septiembre, lunes, 7 de octubre, lunes.
2023;03025;Benferri; 29 de septiembre, viernes, 6 de octubre, viernes.
2022;03025;Benferri;30 de septiembre, viernes, 7 de octubre, viernes.
2021;03025;Benferri; 30 de septiembre, jueves, y 7 de octubre, jueves.
2020;03025;Benferri; 30 de septiembre, miércoles, y 7 de octubre, miércoles.
2019;03025;Benferri;30 de septiembre, lunes, y 7 de octubre, lunes.
2018;03025;Benferri;1 de octubre, lunes y 8 de octubre, lunes.
2026;03025;Benferri;30 de septiembre, San Jerónimo, 7 de octubre, Virgen del Rosario.
2026;03026;Beniarbeig;2 de abril, Jueves Santo, 13 de abril, segundo lunes de Pascua.
2018;03026;Beniarbeig;9 de abril, lunes, Festividad de San Vicente y 26 de diciembre, miércoles, Segundo día de Navidad.
2019;03026;Beniarbeig;29 de abril, lunes, San Vicente y 26 de diciembre, jueves, Segundo día de Navidad.
2020;03026;Beniarbeig; 20 de marzo, viernes, día siguiente a San José y 20 de abril, lunes, San Vicente.
2021;03026;Beniarbeig; 12 de abril, lunes, San Vicente Ferrer, 11 de octubre, lunes.
2022;03026;Beniarbeig;25 de abril, lunes, San Vicente Ferrer, 26 de diciembre, lunes, segundo día de Navidad.
2023;03026;Beniarbeig; 17 de abril, lunes, San Vicente Ferrer, 26 de diciembre, martes, segundo día de Navidad.
2024;03026;Beniarbeig; 8 de abril, lunes, San Vicente, 26 de diciembre, jueves, segundo día de Navidad.
2025;03026;Beniarbeig;28 de abril, lunes, segundo lunes de Pascua, 26 de diciembre, viernes, segundo día de Navidad.
2025;03027;Beniardá;4 de agosto, lunes, Festividad en Honor a la Virgen de los Dolores, 5 de agosto, martes, Festividad en honor a la Vigen de los Dolores
2024;03027;Beniardá; 5 y 6 de agosto, lunes y martes respectivamente, festividad en honor a la Virgen de los Dolores.
2023;03027;Beniardá; 7 y 8 de agosto, lunes y martes respectivamente, festividad en Honor a la Virgen de los Dolores.
2022;03027;Beniardá;8 y 9 de agosto, lunes y martes respectivamente.
2021;03027;Beniardá; 2 y 3 de agosto, lunes y martes, respectivamente.
2020;03027;Beniardá; 3 y 4 de agosto, lunes y martes, respectivamente.
2019;03027;Beniardá;5 y 6 de agosto, lunes y martes, respectivamente.
